DATE,TABSNNCB
1945-10-01,286.155
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,312.172
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,362.724
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,395.984
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,405.438
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,452.196
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,500.655
1952-01-01,509.451
1952-04-01,511.549
1952-07-01,517.332
1952-10-01,524.262
1953-01-01,526.78
1953-04-01,533.709
1953-07-01,544.213
1953-10-01,545.484
1954-01-01,544.155
1954-04-01,546.288
1954-07-01,552.737
1954-10-01,559.993
1955-01-01,563.86
1955-04-01,574.685
1955-07-01,594.279
1955-10-01,615.411
1956-01-01,628.955
1956-04-01,637.085
1956-07-01,656.609
1956-10-01,672.36
1957-01-01,681.055
1957-04-01,689.415
1957-07-01,701.351
1957-10-01,708.995
1958-01-01,707.255
1958-04-01,710.99
1958-07-01,721.545
1958-10-01,732.828
1959-01-01,740.199
1959-04-01,752.906
1959-07-01,762.561
1959-10-01,772.702
1960-01-01,776.118
1960-04-01,780.342
1960-07-01,786.935
1960-10-01,790.143
1961-01-01,789.948
1961-04-01,799.976
1961-07-01,809.352
1961-10-01,819.661
1962-01-01,825.471
1962-04-01,833.952
1962-07-01,844.715
1962-10-01,854.463
1963-01-01,859.624
1963-04-01,869.982
1963-07-01,881.321
1963-10-01,893.295
1964-01-01,899.319
1964-04-01,915.034
1964-07-01,929.228
1964-10-01,944.763
1965-01-01,958.539
1965-04-01,975.531
1965-07-01,993.032
1965-10-01,1023.638
1966-01-01,1037.056
1966-04-01,1065.62
1966-07-01,1084.59
1966-10-01,1109.493
1967-01-01,1121.859
1967-04-01,1137.314
1967-07-01,1160.388
1967-10-01,1192.886
1968-01-01,1216.731
1968-04-01,1242.692
1968-07-01,1267.907
1968-10-01,1307.715
1969-01-01,1338.613
1969-04-01,1371.496
1969-07-01,1405.701
1969-10-01,1445.458
1970-01-01,1472.498
1970-04-01,1513.921
1970-07-01,1532.922
1970-10-01,1565.98
1971-01-01,1600.986
1971-04-01,1637.065
1971-07-01,1674.321
1971-10-01,1713.178
1972-01-01,1757.593
1972-04-01,1793.054
1972-07-01,1831.943
1972-10-01,1896.388
1973-01-01,1950.543
1973-04-01,2017.297
1973-07-01,2085.756
1973-10-01,2167.498
1974-01-01,2240.379
1974-04-01,2340.115
1974-07-01,2459.371
1974-10-01,2558.446
1975-01-01,2751.344
1975-04-01,2819.297
1975-07-01,2857.458
1975-10-01,2905.163
1976-01-01,2982.576
1976-04-01,3075.124
1976-07-01,3155.278
1976-10-01,3217.331
1977-01-01,3305.844
1977-04-01,3384.055
1977-07-01,3479.658
1977-10-01,3582.292
1978-01-01,3686.637
1978-04-01,3804.956
1978-07-01,3931.855
1978-10-01,4077.479
1979-01-01,4232.779
1979-04-01,4384.074
1979-07-01,4568.917
1979-10-01,4717.142
1980-01-01,4868.083
1980-04-01,4999.178
1980-07-01,5198.971
1980-10-01,5369.79
1981-01-01,5625.149
1981-04-01,5770.224
1981-07-01,5898.291
1981-10-01,6041.819
1982-01-01,6177.509
1982-04-01,6238.305
1982-07-01,6335.185
1982-10-01,6387.267
1983-01-01,6479.059
1983-04-01,6555.688
1983-07-01,6624.027
1983-10-01,6719.191
1984-01-01,6856.41
1984-04-01,7019.004
1984-07-01,7193.374
1984-10-01,7296.134
1985-01-01,7402.087
1985-04-01,7499.852
1985-07-01,7605.306
1985-10-01,7800.474
1986-01-01,7839.209
1986-04-01,7927.181
1986-07-01,8052.396
1986-10-01,8150.95
1987-01-01,8302.953
1987-04-01,8410.634
1987-07-01,8530.385
1987-10-01,8673.107
1988-01-01,8846.949
1988-04-01,9002.084
1988-07-01,9130.511
1988-10-01,9450.189
1989-01-01,9856.46
1989-04-01,9920.563
1989-07-01,9967.07
1989-10-01,9993.658
1990-01-01,10022.414
1990-04-01,10055.488
1990-07-01,10168.399
1990-10-01,10255.956
1991-01-01,10303.342
1991-04-01,10321.358
1991-07-01,10296.586
1991-10-01,10228.659
1992-01-01,10306.124
1992-04-01,10284.948
1992-07-01,10255.168
1992-10-01,10242.519
1993-01-01,10347.94
1993-04-01,10456.104
1993-07-01,10563.033
1993-10-01,10725.094
1994-01-01,10843.415
1994-04-01,11011.389
1994-07-01,11163.566
1994-10-01,11400.052
1995-01-01,11562.432
1995-04-01,11773.292
1995-07-01,11999.758
1995-10-01,12259.069
1996-01-01,12469.627
1996-04-01,12631.511
1996-07-01,12767.652
1996-10-01,13024.453
1997-01-01,13527.796
1997-04-01,13630.586
1997-07-01,13979.518
1997-10-01,14383.395
1998-01-01,14924.993
1998-04-01,15116.551
1998-07-01,15388.041
1998-10-01,16131.138
1999-01-01,16428.703
1999-04-01,16772.74
1999-07-01,17253.349
1999-10-01,17943.515
2000-01-01,18248.393
2000-04-01,18656.338
2000-07-01,19600.855
2000-10-01,20603.193
2001-01-01,20614.256
2001-04-01,20742.838
2001-07-01,20786.828
2001-10-01,20739.27
2002-01-01,20794.147
2002-04-01,20855.849
2002-07-01,20870.782
2002-10-01,21161.032
2003-01-01,21502.018
2003-04-01,21564.015
2003-07-01,21548.537
2003-10-01,21647.391
2004-01-01,22175.32
2004-04-01,22863.744
2004-07-01,23519.809
2004-10-01,24092.063
2005-01-01,24435.844
2005-04-01,25023.044
2005-07-01,25591.265
2005-10-01,26276.504
2006-01-01,26776.067
2006-04-01,27452.076
2006-07-01,28078.674
2006-10-01,28486.246
2007-01-01,29171.095
2007-04-01,30032.239
2007-07-01,30707.087
2007-10-01,31118.52
2008-01-01,30562.428
2008-04-01,30206.239
2008-07-01,30319.102
2008-10-01,29503.623
2009-01-01,28965.209
2009-04-01,27900.897
2009-07-01,27329.17
2009-10-01,27486.44
2010-01-01,27461.949
2010-04-01,28220.704
2010-07-01,28563.091
2010-10-01,27026.604
2011-01-01,27486.052
2011-04-01,27853.855
2011-07-01,27782.765
2011-10-01,28191.299
2012-01-01,28656.463
2012-04-01,28943.353
2012-07-01,29470.931
2012-10-01,29496.566
2013-01-01,29950.4
2013-04-01,30515.469
2013-07-01,31431.607
2013-10-01,32118.456
2014-01-01,32239.659
2014-04-01,32814.352
2014-07-01,33369.462
2014-10-01,34078.948
2015-01-01,34986.516
2015-04-01,35711.147
2015-07-01,36256.62
2015-10-01,36358.615
2016-01-01,36144.215
2016-04-01,36918.336
2016-07-01,37857.756
2016-10-01,38372.816
2017-01-01,38551.786
2017-04-01,39224.538
2017-07-01,40041.107
2017-10-01,40686.548
2018-01-01,40951.504
2018-04-01,41961.406
2018-07-01,42103.451
2018-10-01,42599.876
2019-01-01,43758.185
2019-04-01,44757.783
2019-07-01,45520.433
2019-10-01,45734.329
2020-01-01,46266.719
