DATE,TLBSHNO
1945-10-01,30.584
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,37.441
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,46.468
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,55.109
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,63.061
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,76.803
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,85.567
1952-01-01,86.224
1952-04-01,90.411
1952-07-01,93.441
1952-10-01,97.89
1953-01-01,100.207
1953-04-01,104.699
1953-07-01,107.229
1953-10-01,110.624
1954-01-01,110.496
1954-04-01,114.312
1954-07-01,117.763
1954-10-01,123.092
1955-01-01,126.315
1955-04-01,133.426
1955-07-01,138.787
1955-10-01,144.426
1956-01-01,146.185
1956-04-01,151.446
1956-07-01,154.833
1956-10-01,159.60
1957-01-01,160.761
1957-04-01,165.828
1957-07-01,168.971
1957-10-01,172.076
1958-01-01,171.212
1958-04-01,174.783
1958-07-01,178.359
1958-10-01,184.149
1959-01-01,186.644
1959-04-01,193.679
1959-07-01,199.894
1959-10-01,206.702
1960-01-01,207.626
1960-04-01,214.485
1960-07-01,219.067
1960-10-01,224.55
1961-01-01,225.311
1961-04-01,231.512
1961-07-01,235.787
1961-10-01,242.913
1962-01-01,244.24
1962-04-01,251.339
1962-07-01,257.554
1962-10-01,265.049
1963-01-01,267.959
1963-04-01,277.476
1963-07-01,284.993
1963-10-01,294.004
1964-01-01,297.969
1964-04-01,307.566
1964-07-01,314.378
1964-10-01,323.369
1965-01-01,326.864
1965-04-01,336.469
1965-07-01,343.385
1965-10-01,352.786
1966-01-01,355.964
1966-04-01,365.66
1966-07-01,369.551
1966-10-01,376.022
1967-01-01,375.812
1967-04-01,383.147
1967-07-01,389.209
1967-10-01,410.869
1968-01-01,402.468
1968-04-01,415.182
1968-07-01,422.781
1968-10-01,436.144
1969-01-01,434.92
1969-04-01,446.332
1969-07-01,452.181
1969-10-01,463.78
1970-01-01,456.241
1970-04-01,462.80
1970-07-01,469.739
1970-10-01,478.741
1971-01-01,481.495
1971-04-01,495.146
1971-07-01,507.891
1971-10-01,524.086
1972-01-01,531.333
1972-04-01,551.272
1972-07-01,566.724
1972-10-01,585.423
1973-01-01,597.546
1973-04-01,616.455
1973-07-01,635.549
1973-10-01,651.963
1974-01-01,656.214
1974-04-01,677.007
1974-07-01,695.427
1974-10-01,708.618
1975-01-01,707.942
1975-04-01,721.972
1975-07-01,742.057
1975-10-01,765.776
1976-01-01,775.307
1976-04-01,802.059
1976-07-01,827.219
1976-10-01,855.353
1977-01-01,872.133
1977-04-01,910.866
1977-07-01,949.05
1977-10-01,986.885
1978-01-01,1009.796
1978-04-01,1060.157
1978-07-01,1107.727
1978-10-01,1150.252
1979-01-01,1177.797
1979-04-01,1225.353
1979-07-01,1275.76
1979-10-01,1321.228
1980-01-01,1350.243
1980-04-01,1368.494
1980-07-01,1404.495
1980-10-01,1446.947
1981-01-01,1456.193
1981-04-01,1493.595
1981-07-01,1524.585
1981-10-01,1556.065
1982-01-01,1560.136
1982-04-01,1584.35
1982-07-01,1594.325
1982-10-01,1629.03
1983-01-01,1622.222
1983-04-01,1673.327
1983-07-01,1731.147
1983-10-01,1793.755
1984-01-01,1826.137
1984-04-01,1891.15
1984-07-01,1946.892
1984-10-01,2013.977
1985-01-01,2088.221
1985-04-01,2163.818
1985-07-01,2255.833
1985-10-01,2369.31
1986-01-01,2393.408
1986-04-01,2459.114
1986-07-01,2545.61
1986-10-01,2632.766
1987-01-01,2638.258
1987-04-01,2731.548
1987-07-01,2809.325
1987-10-01,2860.335
1988-01-01,2905.022
1988-04-01,2990.525
1988-07-01,3071.282
1988-10-01,3145.547
1989-01-01,3189.654
1989-04-01,3277.555
1989-07-01,3361.375
1989-10-01,3444.337
1990-01-01,3512.018
1990-04-01,3584.61
1990-07-01,3647.762
1990-10-01,3713.922
1991-01-01,3739.594
1991-04-01,3804.767
1991-07-01,3846.747
1991-10-01,3930.379
1992-01-01,3950.281
1992-04-01,3993.978
1992-07-01,4061.407
1992-10-01,4134.205
1993-01-01,4141.838
1993-04-01,4209.721
1993-07-01,4296.208
1993-10-01,4389.889
1994-01-01,4421.779
1994-04-01,4506.79
1994-07-01,4595.493
1994-10-01,4715.474
1995-01-01,4745.319
1995-04-01,4837.138
1995-07-01,4950.471
1995-10-01,5044.969
1996-01-01,5115.862
1996-04-01,5216.237
1996-07-01,5314.644
1996-10-01,5414.225
1997-01-01,5456.106
1997-04-01,5552.391
1997-07-01,5673.286
1997-10-01,5769.597
1998-01-01,5826.445
1998-04-01,5966.757
1998-07-01,6083.502
1998-10-01,6230.728
1999-01-01,6318.135
1999-04-01,6473.249
1999-07-01,6633.734
1999-10-01,6805.178
2000-01-01,6933.031
2000-04-01,7082.421
2000-07-01,7263.936
2000-10-01,7407.061
2001-01-01,7452.991
2001-04-01,7648.15
2001-07-01,7902.645
2001-10-01,8028.146
2002-01-01,8160.017
2002-04-01,8348.527
2002-07-01,8564.013
2002-10-01,8811.609
2003-01-01,8998.209
2003-04-01,9388.587
2003-07-01,9648.218
2003-10-01,9901.731
2004-01-01,10104.719
2004-04-01,10421.031
2004-07-01,10696.754
2004-10-01,11068.831
2005-01-01,11281.772
2005-04-01,11614.089
2005-07-01,11963.996
2005-10-01,12257.656
2006-01-01,12615.067
2006-04-01,12958.261
2006-07-01,13288.814
2006-10-01,13560.02
2007-01-01,13734.671
2007-04-01,14038.074
2007-07-01,14287.837
2007-10-01,14502.041
2008-01-01,14624.986
2008-04-01,14558.455
2008-07-01,14702.831
2008-10-01,14398.433
2009-01-01,14296.46
2009-04-01,14275.505
2009-07-01,14280.149
2009-10-01,14275.987
2010-01-01,14141.577
2010-04-01,14080.568
2010-07-01,14019.264
2010-10-01,14034.025
2011-01-01,13996.611
2011-04-01,13948.229
2011-07-01,13893.941
2011-10-01,13904.293
2012-01-01,13860.446
2012-04-01,13824.744
2012-07-01,13867.476
2012-10-01,13912.261
2013-01-01,13874.811
2013-04-01,13888.059
2013-07-01,13965.991
2013-10-01,14047.711
2014-01-01,14010.283
2014-04-01,14141.139
2014-07-01,14251.143
2014-10-01,14324.458
2015-01-01,14282.284
2015-04-01,14422.548
2015-07-01,14490.044
2015-10-01,14519.665
2016-01-01,14516.994
2016-04-01,14659.016
2016-07-01,14849.093
2016-10-01,14953.6
2017-01-01,15009.069
2017-04-01,15177.537
2017-07-01,15318.396
2017-10-01,15533.499
2018-01-01,15571.996
2018-04-01,15710.465
2018-07-01,15894.484
2018-10-01,16025.482
2019-01-01,16029.209
2019-04-01,16204.762
2019-07-01,16386.588
2019-10-01,16549.404
2020-01-01,16633.811
