DATE,TFAABSHNO
1945-10-01,647.873
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,701.942
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,749.851
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,778.442
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,802.412
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,860.957
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,935.167
1952-01-01,947.571
1952-04-01,962.593
1952-07-01,973.799
1952-10-01,971.711
1953-01-01,975.323
1953-04-01,973.027
1953-07-01,979.165
1953-10-01,1002.985
1954-01-01,1020.761
1954-04-01,1043.153
1954-07-01,1073.36
1954-10-01,1085.827
1955-01-01,1103.73
1955-04-01,1133.083
1955-07-01,1163.17
1955-10-01,1178.976
1956-01-01,1211.605
1956-04-01,1216.162
1956-07-01,1226.743
1956-10-01,1261.431
1957-01-01,1264.481
1957-04-01,1295.089
1957-07-01,1287.884
1957-10-01,1303.316
1958-01-01,1335.252
1958-04-01,1360.277
1958-07-01,1407.547
1958-10-01,1433.675
1959-01-01,1452.554
1959-04-01,1474.924
1959-07-01,1483.575
1959-10-01,1515.414
1960-01-01,1510.203
1960-04-01,1528.655
1960-07-01,1520.799
1960-10-01,1576.682
1961-01-01,1629.411
1961-04-01,1646.159
1961-07-01,1675.439
1961-10-01,1728.404
1962-01-01,1732.882
1962-04-01,1638.055
1962-07-01,1676.525
1962-10-01,1779.12
1963-01-01,1806.477
1963-04-01,1843.955
1963-07-01,1880.09
1963-10-01,1875.73
1964-01-01,1921.478
1964-04-01,1958.962
1964-07-01,2003.129
1964-10-01,2041.492
1965-01-01,2077.574
1965-04-01,2075.582
1965-07-01,2151.451
1965-10-01,2222.835
1966-01-01,2227.703
1966-04-01,2234.044
1966-07-01,2201.072
1966-10-01,2270.373
1967-01-01,2368.445
1967-04-01,2401.658
1967-07-01,2475.42
1967-10-01,2538.077
1968-01-01,2521.525
1968-04-01,2646.63
1968-07-01,2694.376
1968-10-01,2828.662
1969-01-01,2812.313
1969-04-01,2805.01
1969-07-01,2813.961
1969-10-01,2813.089
1970-01-01,2823.533
1970-04-01,2728.154
1970-07-01,2856.648
1970-10-01,2960.832
1971-01-01,3089.871
1971-04-01,3143.471
1971-07-01,3186.73
1971-10-01,3297.383
1972-01-01,3409.87
1972-04-01,3464.846
1972-07-01,3556.612
1972-10-01,3757.226
1973-01-01,3748.748
1973-04-01,3746.73
1973-07-01,3874.661
1973-10-01,3803.509
1974-01-01,3836.073
1974-04-01,3821.852
1974-07-01,3760.527
1974-10-01,3849.85
1975-01-01,4023.22
1975-04-01,4196.199
1975-07-01,4199.683
1975-10-01,4333.622
1976-01-01,4493.8
1976-04-01,4612.098
1976-07-01,4702.187
1976-10-01,4827.306
1977-01-01,4865.508
1977-04-01,4970.19
1977-07-01,5052.212
1977-10-01,5140.694
1978-01-01,5241.805
1978-04-01,5411.057
1978-07-01,5588.959
1978-10-01,5693.589
1979-01-01,5877.759
1979-04-01,6042.096
1979-07-01,6247.783
1979-10-01,6457.019
1980-01-01,6527.319
1980-04-01,6780.871
1980-07-01,7065.234
1980-10-01,7350.417
1981-01-01,7493.455
1981-04-01,7613.511
1981-07-01,7619.604
1981-10-01,7887.833
1982-01-01,7915.721
1982-04-01,8026.139
1982-07-01,8239.023
1982-10-01,8550.683
1983-01-01,8807.403
1983-04-01,9088.995
1983-07-01,9232.774
1983-10-01,9315.766
1984-01-01,9382.008
1984-04-01,9495.789
1984-07-01,9719.978
1984-10-01,9913.643
1985-01-01,10213.078
1985-04-01,10428.605
1985-07-01,10521.054
1985-10-01,10925.568
1986-01-01,11309.549
1986-04-01,11565.903
1986-07-01,11637.099
1986-10-01,12113.272
1987-01-01,12561.576
1987-04-01,12758.306
1987-07-01,13065.22
1987-10-01,12922.589
1988-01-01,13287.549
1988-04-01,13570.086
1988-07-01,13793.887
1988-10-01,14203.78
1989-01-01,14512.487
1989-04-01,14848.157
1989-07-01,15230.784
1989-10-01,15572.038
1990-01-01,15631.61
1990-04-01,15877.948
1990-07-01,15696.555
1990-10-01,16186.523
1991-01-01,16727.151
1991-04-01,16788.802
1991-07-01,17076.002
1991-10-01,17683.686
1992-01-01,17692.197
1992-04-01,17778.082
1992-07-01,18102.827
1992-10-01,18684.549
1993-01-01,18998.534
1993-04-01,19209.514
1993-07-01,19570.905
1993-10-01,19968.289
1994-01-01,20058.828
1994-04-01,20193.834
1994-07-01,20516.919
1994-10-01,20751.495
1995-01-01,21259.843
1995-04-01,21808.241
1995-07-01,22442.335
1995-10-01,23142.476
1996-01-01,23675.099
1996-04-01,24089.753
1996-07-01,24365.245
1996-10-01,25051.494
1997-01-01,25280.055
1997-04-01,26557.679
1997-07-01,27536.279
1997-10-01,28044.716
1998-01-01,29580.064
1998-04-01,30055.774
1998-07-01,29287.17
1998-10-01,31196.026
1999-01-01,31391.338
1999-04-01,32284.209
1999-07-01,32042.943
1999-10-01,34486.927
2000-01-01,35407.248
2000-04-01,34855.905
2000-07-01,35292.815
2000-10-01,34468.202
2001-01-01,33651.187
2001-04-01,34636.121
2001-07-01,33439.962
2001-10-01,34726.086
2002-01-01,35069.557
2002-04-01,34267.058
2002-07-01,32986.639
2002-10-01,33985.423
2003-01-01,33975.492
2003-04-01,35849.714
2003-07-01,36574.296
2003-10-01,38324.649
2004-01-01,40278.649
2004-04-01,40640.41
2004-07-01,41426.723
2004-10-01,43328.957
2005-01-01,43670.829
2005-04-01,44782.557
2005-07-01,45898.137
2005-10-01,46982.161
2006-01-01,48968.358
2006-04-01,48908.331
2006-07-01,50018.147
2006-10-01,51594.739
2007-01-01,52940.806
2007-04-01,53706.236
2007-07-01,54813.924
2007-10-01,54603.883
2008-01-01,53442.928
2008-04-01,52510.781
2008-07-01,50868.584
2008-10-01,48037.835
2009-01-01,47236.43
2009-04-01,48505.747
2009-07-01,50550.766
2009-10-01,51035.556
2010-01-01,52238.754
2010-04-01,51683.536
2010-07-01,53806.757
2010-10-01,54942.289
2011-01-01,56316.186
2011-04-01,56787.191
2011-07-01,55116.93
2011-10-01,56500.838
2012-01-01,58619.171
2012-04-01,58435.443
2012-07-01,60175.209
2012-10-01,60933.732
2013-01-01,63320.348
2013-04-01,63922.883
2013-07-01,65895.68
2013-10-01,67768.739
2014-01-01,69133.319
2014-04-01,70588.327
2014-07-01,70675.99
2014-10-01,72226.932
2015-01-01,73576.927
2015-04-01,73734.389
2015-07-01,72343.845
2015-10-01,73561.798
2016-01-01,74450.809
2016-04-01,75431.152
2016-07-01,76832.945
2016-10-01,77203.313
2017-01-01,79261.55
2017-04-01,80518.966
2017-07-01,82029.261
2017-10-01,84377.781
2018-01-01,84860.796
2018-04-01,85926.642
2018-07-01,87676.383
2018-10-01,83890.323
2019-01-01,88556.625
2019-04-01,90142.354
2019-07-01,90981.781
2019-10-01,93942.42
2020-01-01,86994.981
