round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,optimizer
10,-8003983.947976879,0.0,1.0,-7534218.220843673,0.0,1.0,elu,16,0,10,9,2,normal,sigmoid,binary_crossentropy,RMSprop
10,-7070022.13583815,0.0,1.0,-6550354.851116626,0.0,1.0,relu,16,0,10,9,2,uniform,sigmoid,binary_crossentropy,Adam
10,-133211.39220556358,0.0,1.0,-125336.74468827543,0.0,1.0,relu,128,0,10,11,0,uniform,sigmoid,binary_crossentropy,RMSprop
10,-1325080.610549133,0.0,1.0,-1209016.2642679901,0.0,1.0,elu,32,0,10,9,1,normal,sigmoid,binary_crossentropy,Adamax
10,-12735236.846820809,0.0,1.0,-12464913.713399503,0.0,1.0,elu,16,0,10,9,0,normal,sigmoid,binary_crossentropy,Adagrad
10,-2307761.2182080923,0.0,1.0,-2185959.421836228,0.0,1.0,relu,32,0,10,11,0,normal,sigmoid,binary_crossentropy,Adamax
10,-8134571.1734104045,0.0,1.0,-7951939.699751861,0.0,1.0,elu,32,0,10,10,2,normal,sigmoid,binary_crossentropy,Adagrad
10,-5772065.611271677,0.0,1.0,-5642365.261786601,0.0,1.0,relu,32,0,10,11,2,normal,sigmoid,binary_crossentropy,Adagrad
10,-1144592.4689306358,0.0,1.0,-984409.571650124,0.0,1.0,elu,64,0,10,9,1,uniform,sigmoid,binary_crossentropy,Nadam
10,-38084635.132947974,0.0,1.0,-35315730.665012404,0.0,1.0,elu,16,0,10,9,1,uniform,sigmoid,binary_crossentropy,Nadam
